SMILES,Eox
N#CC(c1ccccc1)C(Br)Oc1ccccc1,2.20490488
O=[N+]([O-])c1ccc(C(c2ccccc2)C(Br)Oc2ccccc2)cc1,2.17108285
CC(Oc1ccccc1)C(C#N)c1ccc(C#N)cc1,1.90472416
COC(C#N)C(C)(C)c1ccc(-c2ccccc2)cc1,1.78815652
COC(Oc1ccccc1)C(C)(C#N)c1ccc([N+](=O)[O-])cc1,1.96891255
COCC(C)(c1ccccc1)c1ccc([N+](=O)[O-])cc1,2.31175855
CCc1ccc(C(C#N)C(OC)OCOC)cc1,2.29097011
COC(C#N)C(C)(C)c1ccccc1,2.47126357
CCc1ccc(C(C)(c2ccccc2)C(Br)OC)cc1,1.90641118
COCOC(C)C(C)c1ccc(C(=O)OC)cc1,2.40669424
CCc1ccc(C(C#N)COc2ccccc2)cc1,1.94036926
COC(=O)c1ccc(C(C)(c2ccccc2)C(OC)OC)cc1,2.15747785
CCc1ccc(C(C)(C#N)C(C)OC)cc1,2.22441445
COC(C#N)C(C#N)c1ccc(C#N)cc1,3.11657593
COCOC(C#N)C(C)(C#N)c1ccc(C#N)cc1,3.05426503
COCC(C)(C#N)c1ccc(C#N)cc1,2.79062734
CC(C)(COc1ccccc1)c1ccc([N+](=O)[O-])cc1,1.81708075
COc1ccc(C(C#N)(C#N)C(C)OC)cc1,2.03984902
COC(Br)C(C)(C#N)c1ccc([N+](=O)[O-])cc1,2.89095061
COC(c1ccccc1)C(C#N)(C#N)c1ccc(-c2ccccc2)cc1,2.02063876
COC(c1ccccc1)C(C#N)c1ccc([N+](=O)[O-])cc1,2.55058072
CCc1ccc(CCOC)cc1,1.97065399
COCOCC(C#N)(C#N)c1ccccc1,2.95625461
COCOCC(C)c1ccccc1,2.24406007
COC(C#N)C(c1ccccc1)c1ccc(C#N)cc1,2.43099277
COC(=O)c1ccc(C(C)(C#N)C(C#N)OC)cc1,2.95538389
COc1ccc(C(C#N)(c2ccccc2)C(OC)OC)cc1,1.78421107
CCc1ccc(C(C#N)C(C#N)OCOC)cc1,2.45646133
COC(=O)c1ccc(C(C#N)C(Br)Oc2ccccc2)cc1,2.22718987
COCOC(Br)C(C)(C#N)c1ccc([N+](=O)[O-])cc1,2.95304383
COC(Br)C(C)(C)c1ccc(C#N)cc1,2.4506656
COC(Oc1ccccc1)C(C#N)c1ccccc1,1.97481712
N#Cc1ccc(C(c2ccccc2)(c2ccccc2)C(Oc2ccccc2)c2ccccc2)cc1,1.87661623
COC(c1ccccc1)C(c1ccccc1)c1ccc([N+](=O)[O-])cc1,2.26079422
COCC(c1ccccc1)(c1ccccc1)c1ccccc1,2.03495122
COC(=O)c1ccc(C(C)(C#N)C(OC)OC)cc1,2.61313651
COCOC(Br)C(c1ccccc1)c1ccccc1,2.15932813
CCc1ccc(CCOCOC)cc1,2.01443488
COCC(C)(C#N)c1ccccc1,2.55289357
COCOC(C)C(c1ccccc1)c1ccccc1,2.04888274
N#Cc1ccc(C(c2ccccc2)(c2ccccc2)C(C#N)Oc2ccccc2)cc1,2.12972365
COC(=O)c1ccc(C(C)(c2ccccc2)C(Br)Oc2ccccc2)cc1,2.09644582
COCOCC(C)(C)c1ccc(C#N)cc1,2.67468553
CCc1ccc(C(C#N)C(Br)OCOC)cc1,2.35649179
COCOC(Br)C(C)(C#N)c1ccc(C#N)cc1,2.80621867
O=[N+]([O-])c1ccc(CC(Oc2ccccc2)c2ccccc2)cc1,1.82276764
CCc1ccc(C(C#N)(C#N)C(Br)OCOC)cc1,2.53814575
COCC(C#N)(C#N)c1ccc(C(=O)OC)cc1,3.03042907
CCc1ccc(C(C)(C#N)COCOC)cc1,2.27790931
N#CC(Oc1ccccc1)C(C#N)c1ccc(-c2ccccc2)cc1,1.99775515
COC(C#N)C(c1ccccc1)c1ccc(-c2ccccc2)cc1,1.79365294
COCOCC(C)(C)c1ccc([N+](=O)[O-])cc1,2.50984735
COC(C#N)C(C#N)c1ccc(-c2ccccc2)cc1,1.97397361
CCc1ccc(C(C)(C)C(OCOC)c2ccccc2)cc1,1.91669656
COCOC(Br)C(C)c1ccc([N+](=O)[O-])cc1,2.45822998
COCOCC(C#N)(c1ccccc1)c1ccc(C#N)cc1,2.5774642000000005
COC(=O)c1ccc(C(C#N)C(C)OC)cc1,2.63207467
COc1ccc(C(C#N)(C#N)C(Br)OC)cc1,2.18980333
COC(=O)c1ccc(C(C)(C#N)C(Br)Oc2ccccc2)cc1,2.220469
COC(c1ccccc1)C(C#N)(C#N)c1ccc([N+](=O)[O-])cc1,2.73792157
COCOC(OC)C(C)(C#N)c1ccc(-c2ccccc2)cc1,1.79656441
COC(=O)c1ccc(C(C)(C)C(Br)Oc2ccccc2)cc1,2.11560166
CCc1ccc(C(C#N)(c2ccccc2)C(Br)Oc2ccccc2)cc1,2.21290462
COC(=O)c1ccc(C(C)(c2ccccc2)C(C#N)OC)cc1,2.32865596
COC(c1ccccc1)C(C#N)c1ccc(C#N)cc1,2.52111229
CCc1ccc(C(c2ccccc2)(c2ccccc2)C(Br)Oc2ccccc2)cc1,1.91370346
COC(C)C(C)(c1ccccc1)c1ccc([N+](=O)[O-])cc1,2.30356834
COC(C)C(C)c1ccc(C#N)cc1,1.85650804
COCOC(Br)C(c1ccccc1)(c1ccccc1)c1ccc(C#N)cc1,2.18044309
CCc1ccc(C(C#N)(C#N)COCOC)cc1,2.59743634
COCC(c1ccccc1)(c1ccccc1)c1ccc(C#N)cc1,2.11350649
COCOC(Br)Cc1ccc(C#N)cc1,2.53817296
COCOC(OC)C(c1ccccc1)(c1ccccc1)c1ccc(C#N)cc1,2.24362471
CCc1ccc(C(C)(C)C(C#N)OCOC)cc1,2.11059502
COC(Br)C(C)c1ccccc1,2.26974631
COC(C#N)Cc1ccc([N+](=O)[O-])cc1,3.07410112
