sssr,clogp,mr,mw,tpsa,chi0n,chi1n,chi2n,chi3n,chi4n,chi0v,chi1v,chi2v,chi3v,chi4v,fracsp3,hall_kier_alpha,kappa1,kappa2,kappa3,labuteasa,number_aliphatic_rings,number_aromatic_rings,number_amide_bonds,number_atom_stereocenters,number_bridgehead_atoms,number_HBA,number_HBD,number_hetero_atoms,number_hetero_cycles,number_rings,number_rotatable_bonds,number_spiro,number_saturated_rings,number_heavy_atoms,number_nh_oh,number_n_o,number_valence_electrons,max_partial_charge,min_partial_charge,fr_C_O,fr_C_O_noCOO,fr_Al_OH,fr_Ar_OH,fr_methoxy,fr_oxime,fr_ester,fr_Al_COO,fr_Ar_COO,fr_COO,fr_COO2,fr_ketone,fr_ether,fr_phenol,fr_aldehyde,fr_quatN,fr_NH2,fr_NH1,fr_NH0,fr_Ar_N,fr_Ar_NH,fr_aniline,fr_Imine,fr_nitrile,fr_hdrzine,fr_hdrzone,fr_nitroso,fr_N_O,fr_nitro,fr_azo,fr_diazo,fr_azide,fr_amide,fr_priamide,fr_amidine,fr_guanido,fr_Nhpyrrole,fr_imide,fr_isocyan,fr_isothiocyan,fr_thiocyan,fr_halogen,fr_alkyl_halide,fr_sulfide,fr_SH,fr_C_S,fr_sulfone,fr_sulfonamd,fr_prisulfonamd,fr_barbitur,fr_urea,fr_term_acetylene,fr_imidazole,fr_furan,fr_thiophene,fr_thiazole,fr_oxazole,fr_pyridine,fr_piperdine,fr_piperzine,fr_morpholine,fr_lactam,fr_lactone,fr_tetrazole,fr_epoxide,fr_unbrch_alkane,fr_bicyclic,fr_benzene,fr_phos_acid,fr_phos_ester,fr_nitro_arom,fr_nitro_arom_nonortho,fr_dihydropyridine,fr_phenol_noOrthoHbond,fr_Al_OH_noTert,fr_benzodiazepine,fr_para_hydroxylation,fr_allylic_oxid,fr_aryl_methyl,fr_Ndealkylation1,fr_Ndealkylation2,fr_alkyl_carbamate,fr_ketone_Topliss,fr_ArN,fr_HOCCN
2,4.093780000000002,74.58100000000003,301.010226104,33.019999999999996,9.661629589248559,5.613701901182297,3.7995156096053515,2.5517183413734665,1.6419241301801122,11.247626128363265,6.5293774299739855,4.702004091892387,3.2672953390361026,2.2811893008203996,0.13333333333333333,-1.7899999999999996,12.661340905875772,6.226159653230259,3.115971959682038,114.95699618536777,0,2,0,2,0,2,0,3,0,2,4,0,0,18,0,2,90,0.17258338387118805,-0.4774998936670373,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,5.5267000000000035,101.16640000000001,397.031355472,52.370000000000005,13.287527246934792,7.800217477898325,5.5190581728973145,3.875656421117396,2.655918622895708,14.873523786049496,8.715893006690013,6.42154665518435,4.591233418780034,3.482195767348562,0.1,-2.659999999999999,17.172394272052525,7.942644438118973,4.249418855513833,153.90954431806622,0,3,0,2,0,3,0,5,0,3,6,0,0,25,0,4,126,0.2689426062435038,-0.4782555502473515,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,3.6329600000000024,76.04300000000003,262.110613068,56.809999999999995,11.153528442549666,6.3571246804088695,4.47660422930716,3.072581662900771,1.9972632869146927,11.153528442549666,6.3571246804088695,4.47660422930716,3.072581662900771,1.9972632869146927,0.17647058823529413,-2.78,13.647028596697757,6.40518793798384,3.157534087817193,118.21191248998835,0,2,0,2,0,3,0,3,0,2,4,0,0,20,0,3,98,0.11928744904991985,-0.4890006284074669,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,4.169780000000003,81.31400000000005,265.146664228,33.019999999999996,12.128964577860081,6.676958425367861,5.409905042423116,3.744467871237707,2.3829207520515037,12.128964577860081,6.676958425367861,5.409905042423116,3.744467871237707,2.3829207520515037,0.2777777777777778,-2.1099999999999994,14.302294745904305,5.897878744042263,2.7350569644825864,120.18427492291627,0,2,0,1,0,2,0,2,0,2,4,0,0,20,0,2,102,0.15214325447354343,-0.3655983430929973,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3.4275800000000025,83.92840000000004,312.111006992,85.39,12.80092304475163,6.916864865820587,5.116670702930508,3.5818641233220805,2.207033914050195,12.80092304475163,6.916864865820587,5.116670702930508,3.5818641233220805,2.207033914050195,0.23529411764705882,-2.91,16.460333648764433,6.899834703268062,3.4691089654164884,133.5858537605263,0,2,0,2,0,5,0,6,0,2,6,0,0,23,0,6,118,0.2689437708247366,-0.46284721350041264,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,3.547200000000003,77.86840000000004,271.120843404,52.370000000000005,11.575217670784731,6.371282792640919,4.935128696290228,3.5591986864601237,2.379009838190687,11.575217670784731,6.371282792640919,4.935128696290228,3.5591986864601237,2.379009838190687,0.25,-2.1999999999999997,14.214214576731552,5.839206950323012,2.700315221122937,117.7147867351541,0,2,0,1,0,3,0,4,0,2,5,0,0,20,0,4,104,0.26894294353800596,-0.3834234895506396,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.44918,67.93200000000004,249.136493468,51.480000000000004,11.050273644402399,5.881569148007062,3.8791911235903904,2.7408018386784487,1.688656353418479,11.050273644402399,5.881569148007062,3.8791911235903904,2.7408018386784487,1.688656353418479,0.5,-1.4100000000000001,14.65027727546715,7.827877230727063,3.8111630626844955,108.08415540465917,0,1,0,2,0,4,0,4,0,1,7,0,0,18,0,4,98,0.1793353061838563,-0.3585343912189432,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.5027800000000004,55.87800000000004,189.1153641,33.019999999999996,8.819563501101577,4.605591220321943,3.8325547732334906,2.526234358444622,1.5277927050840991,8.819563501101577,4.605591220321943,3.8325547732334906,2.526234358444622,1.5277927050840991,0.4166666666666667,-1.33,10.748926598263616,4.255264848961771,1.941396879996435,85.12718071685222,0,1,0,1,0,2,0,2,0,1,3,0,0,14,0,2,74,0.15214324865796722,-0.36559834311692146,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4.922400000000004,88.44000000000005,332.077577392,9.23,12.266822236555898,6.943554555038883,5.17060190497476,3.9961902305856163,2.5354907152700226,13.852818775670602,7.859230083830572,6.002262638619405,5.285688728626108,3.0641562283082577,0.3333333333333333,-1.1199999999999999,15.27229339821626,6.554308215780275,2.815923978390827,129.65924284708885,0,2,0,2,0,1,0,2,0,2,5,0,0,20,0,1,106,0.1250071868257334,-0.3689404407636032,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.585700000000001,68.61950000000004,252.13615912,44.760000000000005,11.304201558179756,5.885873612330048,4.180576514996196,3.0104730606362553,1.6313362242789506,11.304201558179756,5.885873612330048,4.180576514996196,3.0104730606362553,1.6313362242789506,0.5,-1.3900000000000001,14.670204695966284,7.134997103805396,3.821877099038388,107.85309782323424,0,1,0,2,0,4,0,4,0,1,6,0,0,18,0,4,100,0.33734176962518075,-0.46541752131444575,1,1,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
